Brantley, hot chocolate, 3
Faith, milk, 2
Lucy, tea, 1
Serenity, orange juice, 5
Dominic, milk, 2
Aaliyah, tea, 5
Natalie, orange juice, 2
Lucy, tea, 7
Luke, orange juice, 4
Allison, hot chocolate, 4
Ryan, tea, 5
Owen, milk, 3
Aubree, milk, 2
Miles, orange juice, 3
Hailey, milk, 1
Bailey, tea, 5
Faith, orange juice, 1
Charlotte, hot chocolate, 5
Evan, orange juice, 1
Allison, hot chocolate, 5
Brayden, coffee, 4
Gabriel, milk, 3
Jason, orange juice, 3
Joseph, coffee, 10
Nathaniel, coffee, 1
Samantha, tea, 3
Josiah, coffee, 7
Eli, hot chocolate, 5
Ashton, hot chocolate, 5
Brianna, coffee, 13
Audrey, orange juice, 3
Jason, orange juice, 5
Hunter, milk, 3
Miles, orange juice, 4
Matthew, orange juice, 3
John, coffee, 7
Stella, orange juice, 4
Allison, hot chocolate, 5
Isabella, hot chocolate, 3
Ian, tea, 7
Brody, tea, 5
Alexis, orange juice, 3
Hailey, milk, 2
Sophie, orange juice, 1
Natalie, hot chocolate, 4
Nora, milk, 5
Gabriel, tea, 1
Isaiah, tea, 1
Melanie, orange juice, 2
Eleanor, coffee, 1
Caroline, tea, 1
Sadie, milk, 1
Penelope, coffee, 1
Robert, tea, 1
Amelia, hot chocolate, 5
Victoria, orange juice, 2
Lauren, coffee, 13
Kylie, milk, 5
Isaac, milk, 2
Oliver, milk, 5
Arianna, orange juice, 1
Lucy, tea, 9
Emily, tea, 7
Brandon, coffee, 13
Jaxson, milk, 3
Trinity, hot chocolate, 3
Tyler, coffee, 13
Kinsley, coffee, 1
Grayson, hot chocolate, 2
Charles, tea, 5
Chase, hot chocolate, 4
Sebastian, tea, 3
Ashton, hot chocolate, 1
Eleanor, milk, 2
Lilly, orange juice, 1
Jeremiah, tea, 3
Jackson, hot chocolate, 3
Alyssa, tea, 7
Kevin, milk, 4
Dylan, milk, 2
Ian, orange juice, 1
Samuel, tea, 7
Jacob, coffee, 4
Nora, hot chocolate, 5
Annabelle, hot chocolate, 3
Kaiden, tea, 5
Matthew, hot chocolate, 5
Aaliyah, hot chocolate, 4
Nicholas, coffee, 1
Benjamin, tea, 5
Ellie, tea, 1
Chloe, milk, 4
Joshua, coffee, 4
Lillian, milk, 1
Clara, hot chocolate, 1
Lauren, orange juice, 1
Kennedy, milk, 4
Dylan, tea, 1
Andrew, hot chocolate, 4
Brandon, hot chocolate, 5
Charlotte, coffee, 4
Jordan, milk, 4
Owen, hot chocolate, 5
Kennedy, milk, 5
Harper, coffee, 13
Aaliyah, hot chocolate, 5
Lucy, tea, 3
Morgan, hot chocolate, 2
Jordan, hot chocolate, 1
Isaiah, hot chocolate, 1
Isabella, orange juice, 3
Daniel, orange juice, 4
Andrew, orange juice, 4
Daniel, coffee, 13
Easton, tea, 7
Julian, orange juice, 1
Jonathan, orange juice, 2
Kylie, coffee, 4
Ava, orange juice, 1
Matthew, milk, 4
Sawyer, hot chocolate, 4
Wyatt, coffee, 4
Andrew, orange juice, 1
Anthony, orange juice, 1
Lucas, orange juice, 3
Mary, milk, 1
Claire, milk, 3
Lucas, hot chocolate, 3
Hadley, hot chocolate, 5
Wyatt, coffee, 4
Annabelle, tea, 3
Logan, tea, 1
Julian, hot chocolate, 3
Jace, tea, 7
Hunter, coffee, 1
Makayla, hot chocolate, 1
Grace, coffee, 10
Addison, coffee, 7
Grace, hot chocolate, 2
Brooklyn, milk, 4
Nicholas, orange juice, 3
Andrew, orange juice, 5
Audrey, hot chocolate, 5
Miles, orange juice, 1
Eli, milk, 4
Brantley, orange juice, 5
Aaron, coffee, 13
Morgan, orange juice, 3
Jace, tea, 7
Zoe, orange juice, 1
Aubrey, hot chocolate, 3
Lauren, coffee, 1
Zoe, coffee, 10
Evan, tea, 7
Kayden, tea, 1
Christopher, milk, 2
Lydia, tea, 9
Scarlett, tea, 9
Chase, hot chocolate, 2
Ayden, tea, 1
Aiden, coffee, 7
Gavin, hot chocolate, 3
Caroline, hot chocolate, 3
Nora, tea, 5
Jayceon, milk, 5
Zoey, coffee, 10
Levi, coffee, 1
Elizabeth, orange juice, 1
Emma, milk, 4
Bentley, milk, 5
Bentley, orange juice, 3
London, milk, 5
Mia, orange juice, 5
Alyssa, tea, 1
Tyler, milk, 4
Mary, hot chocolate, 1
Nora, milk, 4
Camila, orange juice, 1
Nicholas, hot chocolate, 2
Anthony, orange juice, 4
Allison, coffee, 4
Gavin, orange juice, 4
Lilly, orange juice, 5
Jayden, orange juice, 5
Jayden, hot chocolate, 2
Nora, tea, 7
Abigail, tea, 9
Charlotte, coffee, 7
Ashton, coffee, 13
Isaiah, milk, 5
Dominic, hot chocolate, 4
Mason, hot chocolate, 5
Nolan, hot chocolate, 5
Levi, hot chocolate, 5
Oliver, orange juice, 2
Dylan, orange juice, 3
Lucy, orange juice, 1
Taylor, coffee, 10
Sofia, coffee, 10
Jacob, tea, 3
Leah, orange juice, 2
Nicholas, orange juice, 4
Angel, hot chocolate, 5
Serenity, milk, 1
Amelia, hot chocolate, 2
Peyton, hot chocolate, 3
Londyn, tea, 7
Chase, orange juice, 3
Zoey, milk, 4
Lucy, hot chocolate, 1
Jayceon, coffee, 10
Christopher, tea, 9
Brody, milk, 2
Grayson, hot chocolate, 5
Aria, milk, 2
Makayla, tea, 9
Parker, milk, 3
Micah, tea, 5
Alexis, tea, 3
Nora, hot chocolate, 4
Andrew, orange juice, 2
Easton, coffee, 10
Logan, hot chocolate, 2
Bryson, coffee, 4
Jayceon, orange juice, 2
Lilly, orange juice, 2
Alyssa, orange juice, 5
Lucas, coffee, 4
Noah, coffee, 7
Joshua, milk, 4
Aaron, tea, 5
Cora, coffee, 13
Isabella, orange juice, 3
Mia, hot chocolate, 1
Bailey, tea, 3
Annabelle, hot chocolate, 4
Logan, hot chocolate, 3
Grayson, coffee, 4
Bryson, milk, 5
Ella, coffee, 4
Brantley, milk, 1
Micah, coffee, 4
Lillian, tea, 9
Kevin, tea, 1
Ayden, hot chocolate, 1
Lily, coffee, 7
Samuel, hot chocolate, 3
Michael, milk, 4
Aubrey, hot chocolate, 4
Ryan, milk, 4
Zachary, tea, 5
Charles, hot chocolate, 3
Aaliyah, tea, 7
Isabella, hot chocolate, 3
Leah, orange juice, 4
Tristan, orange juice, 2
Lydia, milk, 3
Anthony, hot chocolate, 3
Logan, tea, 9
Sophia, hot chocolate, 1
Gabriel, orange juice, 2
Jack, orange juice, 5
Clara, orange juice, 1
Jordan, hot chocolate, 2
Sofia, tea, 7
Ian, orange juice, 1
Thomas, orange juice, 2
Alexa, orange juice, 1
Lucas, orange juice, 3
Sydney, hot chocolate, 1
Robert, orange juice, 1
Annabelle, hot chocolate, 3
Avery, orange juice, 3
Brody, hot chocolate, 1
Khloe, milk, 5
Jacob, coffee, 4
Kevin, milk, 1
Ayden, coffee, 10
Mackenzie, tea, 3
Logan, milk, 3
Henry, hot chocolate, 3
Makayla, coffee, 13
Arianna, coffee, 13
Easton, orange juice, 2
Caleb, hot chocolate, 1
Aiden, coffee, 7
Henry, hot chocolate, 3
Alyssa, coffee, 4
Kaiden, coffee, 4
Samuel, tea, 9
Aubree, milk, 2
Jack, tea, 7
Hunter, tea, 1
Sebastian, hot chocolate, 1
Connor, coffee, 4
Clara, coffee, 7
Zachary, hot chocolate, 4
Braxton, milk, 2
Hadley, milk, 4
Logan, orange juice, 4
Aubree, hot chocolate, 1
Scarlett, coffee, 7
Bailey, hot chocolate, 5
Stella, milk, 5
Kevin, hot chocolate, 2
Nevaeh, hot chocolate, 1
Logan, milk, 4
